detail_id,detail_name,detail_name_norm
6524,전기공학전공,전기공학전공
6525,전기과,전기과
6526,전기과(2년제),전기과2년제
6527,전기과(3년제),전기과3년제
6528,전기과(융합제어),전기과융합제어
6529,전기모빌리티과,전기모빌리티과
6530,전기및전자공학부,전기및전자공학부
6531,전기및제어공학과,전기및제어공학과
6532,전기반도체컴퓨터학부,전기반도체컴퓨터학부
6533,전기설비과,전기설비과
6534,전기소방시스템공학과,전기소방시스템공학과
6535,전기소방안전학과,전기소방안전학과
6536,전기소방학부,전기소방학부
6537,전기수소자동차과,전기수소자동차과
6538,전기시스템공학과,전기시스템공학과
6539,전기시스템과,전기시스템과
6540,전기에너지공학과,전기에너지공학과
6541,전기에너지공학전공,전기에너지공학전공
6542,전기에너지과,전기에너지과
6543,전기에너지시스템과,전기에너지시스템과
6544,전기에너지전공,전기에너지전공
6545,전기융합공학과,전기융합공학과
6546,전기융합에너지과,전기융합에너지과
6547,전기자동차공학과,전기자동차공학과
6548,전기자동차공학부,전기자동차공학부
6549,전기자동차과,전기자동차과
6550,전기자동차드론과,전기자동차드론과
6551,전기자동차전공,전기자동차전공
6552,전기자동차학과,전기자동차학과
6553,전기자동화과,전기자동화과
6554,전기전공,전기전공
6555,전기전자공학과,전기전자공학과
6556,전기전자공학부,전기전자공학부
6557,전기전자공학부 반도체전자공학과,전기전자공학부반도체전자공학과
6558,전기전자공학부 전기과,전기전자공학부전기과
6559,전기전자공학전공,전기전자공학전공
6560,전기전자과,전기전자과
6561,전기전자과(3년제),전기전자과3년제
6562,전기전자교육과,전기전자교육과
6563,전기전자서비스과,전기전자서비스과
6564,전기전자소재공학전공,전기전자소재공학전공
6565,전기전자소프트웨어공학전공,전기전자소프트웨어공학전공
6566,전기전자에너지학부,전기전자에너지학부
6567,전기전자융합학과,전기전자융합학과
6568,전기전자응용공학과,전기전자응용공학과
6569,전기전자전공,전기전자전공
6570,전기전자전파공학부,전기전자전파공학부
6571,전기전자정보통신학부,전기전자정보통신학부
6572,전기전자제어공학과,전기전자제어공학과
6573,전기전자제어공학부,전기전자제어공학부
6574,전기전자제어과,전기전자제어과
6575,전기전자제어학과,전기전자제어학과
6576,전기전자컴퓨터공학부,전기전자컴퓨터공학부
6577,전기전자통신공학부,전기전자통신공학부
6578,전기전자통신컴퓨터공학부,전기전자통신컴퓨터공학부
6579,전기전자학부,전기전자학부
6580,전기정보공학과,전기정보공학과
6581,전기정보과,전기정보과
6582,전기정보제어학과,전기정보제어학과
6583,전기제어계측공학부,전기제어계측공학부
6584,전기제어공학과,전기제어공학과
6585,전기제어과,전기제어과
6586,전기제어학부,전기제어학부
6587,전기조명과,전기조명과
6588,전기차공학부,전기차공학부
6589,전기차드론과,전기차드론과
6590,전기컴퓨터공학부,전기컴퓨터공학부
6591,전기통신로봇과,전기통신로봇과
6592,전문사관과,전문사관과
6593,전문사관양성과,전문사관양성과
6594,전문스포츠지도과,전문스포츠지도과
6595,전문스포츠지도전공,전문스포츠지도전공
6596,전문응급구조학과,전문응급구조학과
