detail_id,integrated_code
435,7
443,7
4264,7
4265,7
4267,7
4268,7
4269,7
4270,7
4271,7
4272,7
4273,7
4274,7
4275,7
5071,7
5081,7
5082,7
5134,7
7297,7
462,13
1946,13
1956,13
4377,13
4478,13
186,21
382,21
510,21
518,21
519,21
523,21
525,21
526,21
527,21
530,21
532,21
533,21
538,21
545,21
546,21
550,21
2311,21
2312,21
5170,21
7407,21
7408,21
7592,21
71,22
167,22
242,22
256,22
568,22
572,22
581,22
588,22
591,22
595,22
596,22
597,22
600,22
602,22
620,22
621,22
2387,22
3324,22
3419,22
3627,22
3628,22
3629,22
3652,22
3654,22
3742,22
3743,22
3744,22
3816,22
3988,22
4312,22
4383,22
4412,22
5567,22
5896,22
6264,22
6734,22
7590,22
31,23
36,23
64,23
86,23
153,23
156,23
166,23
168,23
174,23
182,23
187,23
188,23
189,23
191,23
198,23
238,23
240,23
241,23
243,23
258,23
270,23
311,23
329,23
342,23
382,23
442,23
559,23
560,23
561,23
562,23
563,23
565,23
566,23
567,23
568,23
570,23
573,23
574,23
575,23
576,23
577,23
585,23
586,23
594,23
595,23
598,23
599,23
601,23
602,23
603,23
604,23
606,23
607,23
608,23
609,23
610,23
612,23
615,23
616,23
617,23
765,23
845,23
1152,23
1154,23
1155,23
1156,23
1181,23
1182,23
1184,23
1215,23
1312,23
1319,23
1322,23
1323,23
1324,23
1325,23
1326,23
1327,23
1357,23
1359,23
1371,23
1382,23
1392,23
1393,23
1394,23
1398,23
1401,23
1402,23
1403,23
1418,23
1471,23
1484,23
1488,23
1515,23
1523,23
1554,23
1744,23
1745,23
1756,23
1757,23
1758,23
1763,23
1947,23
2154,23
2158,23
2207,23
2208,23
2209,23
2222,23
2395,23
2409,23
2412,23
2422,23
2424,23
2426,23
2427,23
2428,23
2429,23
2601,23
2611,23
2617,23
2620,23
2624,23
2678,23
2728,23
2793,23
2818,23
2826,23
2875,23
2919,23
3315,23
3319,23
3419,23
3447,23
3481,23
3482,23
3641,23
3642,23
3643,23
3644,23
3651,23
3653,23
3662,23
3668,23
3721,23
3817,23
3821,23
3838,23
3903,23
3988,23
3989,23
4138,23
4139,23
4140,23
4313,23
4325,23
4385,23
4455,23
4647,23
4648,23
5022,23
5028,23
5037,23
5177,23
5188,23
5345,23
5454,23
5570,23
5705,23
5814,23
5815,23
5845,23
5846,23
5847,23
5848,23
5932,23
5987,23
6056,23
6084,23
6161,23
6219,23
6409,23
6413,23
6478,23
6733,23
6735,23
6736,23
6737,23
6970,23
6990,23
7120,23
7123,23
7148,23
7169,23
7176,23
7184,23
7189,23
7226,23
7227,23
7228,23
7230,23
7296,23
7347,23
7384,23
7591,23
7709,23
7751,23
7812,23
7853,23
7886,23
7967,23
7986,23
8147,23
8148,23
8192,23
8193,23
8194,23
8220,23
8231,23
8233,23
8304,23
8308,23
8719,23
8726,23
8734,23
421,24
572,24
582,24
619,24
622,24
623,24
624,24
1760,24
8669,24
8670,24
8671,24
8675,24
8684,24
8685,24
625,25
627,25
628,25
629,25
631,25
632,25
633,25
634,25
635,25
636,25
638,25
639,25
641,25
643,25
645,25
646,25
649,25
652,25
653,25
654,25
655,25
656,25
1160,25
1185,25
1329,25
1404,25
1562,25
2563,25
3448,25
3820,25
3907,25
3978,25
4266,25
4946,25
4947,25
5245,25
6422,25
6981,25
6982,25
7134,25
7135,25
8145,25
8242,25
8243,25
8244,25
8647,25
660,26
665,26
667,26
668,26
670,26
671,26
672,26
673,26
675,26
676,26
677,26
678,26
679,26
680,26
681,26
683,26
687,26
690,26
692,26
694,26
701,26
702,26
710,26
712,26
713,26
714,26
716,26
717,26
718,26
719,26
720,26
724,26
920,26
921,26
3289,26
3683,26
658,27
659,27
661,27
662,27
663,27
664,27
666,27
672,27
674,27
679,27
684,27
685,27
691,27
693,27
694,27
695,27
697,27
698,27
703,27
704,27
705,27
706,27
707,27
708,27
709,27
711,27
715,27
718,27
719,27
720,27
721,27
722,27
723,27
798,27
1082,27
1083,27
3268,27
3274,27
3281,27
3685,27
3688,27
3697,27
7575,27
8237,27
8246,27
8247,27
727,28
728,28
730,28
733,28
734,28
735,28
736,28
4666,28
4667,28
742,29
744,29
745,29
747,29
5355,29
5362,29
5363,29
5366,29
5367,29
5850,29
6255,29
398,30
749,30
751,30
752,30
753,30
757,30
758,30
1779,30
1782,30
1783,30
4976,30
5773,30
1632,33
2177,33
5645,33
840,34
841,34
2177,34
842,35
843,35
844,35
847,37
848,37
868,37
869,37
877,37
878,37
891,37
2550,37
5181,37
7899,37
2212,38
2400,38
4114,38
4120,38
4189,38
4191,38
894,39
895,39
896,39
897,39
1291,39
1292,39
1293,39
1295,39
1536,39
1538,39
2172,39
2190,39
893,41
898,41
899,41
2211,41
2893,41
6704,41
7147,41
8693,41
925,45
930,45
931,45
933,45
937,45
940,45
944,45
953,45
972,45
976,45
977,45
1169,45
1171,45
1335,45
1337,45
1338,45
1339,45
1340,45
1341,45
1342,45
1343,45
1358,45
1513,45
1514,45
1516,45
1521,45
2213,45
2402,45
4634,45
6354,45
7376,45
7377,45
7990,45
8054,45
8495,45
807,46
924,46
926,46
927,46
928,46
929,46
931,46
932,46
933,46
934,46
939,46
943,46
945,46
952,46
959,46
961,46
962,46
967,46
971,46
972,46
973,46
975,46
976,46
977,46
978,46
1166,46
1167,46
1168,46
1170,46
1171,46
1172,46
1173,46
1174,46
1179,46
1314,46
1315,46
1332,46
1343,46
1344,46
1360,46
1512,46
1514,46
2344,46
2345,46
2602,46
2603,46
2604,46
2605,46
2606,46
2607,46
2618,46
2628,46
4388,46
4633,46
5346,46
5347,46
5708,46
5855,46
5856,46
6985,46
7662,46
7977,46
7989,46
7993,46
7998,46
8113,46
8115,46
8120,46
8333,46
8334,46
8336,46
8360,46
8378,46
8475,46
8482,46
8484,46
8485,46
8491,46
8492,46
8724,46
958,48
5259,48
5581,48
5583,48
595,50
1006,50
1011,50
2263,50
995,51
996,51
997,51
999,51
1000,51
1003,51
1007,51
1008,51
1009,51
1010,51
1012,51
72,54
913,54
992,54
993,54
994,54
998,54
1005,54
1013,54
1014,54
1015,54
1016,54
1017,54
1018,54
1019,54
1020,54
1021,54
1022,54
1023,54
1024,54
1025,54
2227,54
2265,54
2731,54
2755,54
2756,54
2757,54
3656,54
3888,54
3989,54
4587,54
8496,54
8497,54
1026,55
1027,55
1028,55
1029,55
1030,55
1031,55
1787,55
2145,55
2343,55
5185,55
20,56
837,56
909,56
1033,56
1034,56
1040,56
1048,56
1373,56
1438,56
1450,56
1459,56
1766,56
2276,56
2805,56
2820,56
3384,56
3819,56
5055,56
